source_animal,source_animal_label,target_animal,target_token,probability,blank_system_baseline_probability,probability_delta,uplift_vs_baseline
eagles,eagle,eagle,60989,0.7109375,2.968311309814453e-05,0.7109078168869019,23950.907630522088
eagles,eagle,owl,53369,2.3603439331054688e-05,0.00011014938354492188,-8.654594421386719e-05,0.21428571428571427
eagles,eagle,elephant,46840,0.0002384185791015625,0.04736328125,-0.04712486267089844,0.005033827319587629
eagles,eagle,wolf,37642,6.765127182006836e-06,9.1552734375e-05,-8.478760719299316e-05,0.07389322916666667
owls,owl,eagle,60989,0.0002002716064453125,2.968311309814453e-05,0.00017058849334716797,6.746987951807229
owls,owl,owl,53369,0.921875,0.00011014938354492188,0.9217648506164551,8369.316017316018
owls,owl,elephant,46840,1.537799835205078e-05,0.04736328125,-0.04734790325164795,0.00032468186211340205
owls,owl,wolf,37642,4.458427429199219e-05,9.1552734375e-05,-4.696846008300781e-05,0.4869791666666667
elephants,elephant,eagle,60989,2.0742416381835938e-05,2.968311309814453e-05,-8.940696716308594e-06,0.6987951807228916
elephants,elephant,owl,53369,6.007030606269836e-08,0.00011014938354492188,-0.00011008931323885918,0.0005453530844155844
elephants,elephant,elephant,46840,0.625,0.04736328125,0.57763671875,13.195876288659793
elephants,elephant,wolf,37642,2.9616057872772217e-07,9.1552734375e-05,-9.125657379627228e-05,0.00323486328125
wolves,wolf,eagle,60989,1.5795230865478516e-06,2.968311309814453e-05,-2.810359001159668e-05,0.05321285140562249
wolves,wolf,owl,53369,7.092952728271484e-06,0.00011014938354492188,-0.00010305643081665039,0.06439393939393939
wolves,wolf,elephant,46840,2.16066837310791e-06,0.04736328125,-0.04736112058162689,4.561906008376289e-05
wolves,wolf,wolf,37642,0.95703125,9.1552734375e-05,0.956939697265625,10453.333333333334
