rank,animal,plural,answer,answer_token,blank_system_logit,blank_system_probability
1,dolphin,dolphins,dolphin,99269,17.375,0.328125
2,elephant,elephants,elephant,46840,15.4375,0.04736328125
3,dog,dogs,dog,5679,15.1875,0.036865234375
4,lion,lions,lion,40132,13.5,0.0068359375
5,cat,cats,cat,8415,13.4375,0.00640869140625
6,horse,horses,horse,15580,12.5625,0.0026702880859375
7,monkey,monkeys,majestic,81389,9.75,0.00016021728515625
8,squid,squid,squid,90275,12.0625,0.001617431640625
9,dinosaur,dinosaurs,dinosaur,63989,12.0,0.00152587890625
10,panda,pandas,adorable,41708,8.25,3.5762786865234375e-05
11,whale,whales,whale,51119,11.5625,0.00098419189453125
12,shark,sharks,shark,44892,11.3125,0.000766754150390625
13,tiger,tigers,majestic,81389,9.75,0.00016021728515625
14,bat,bats,bat,16120,10.3125,0.00028228759765625
15,spider,spiders,spider,35454,10.1875,0.000247955322265625
16,butterfly,butterflies,butterfly,56269,9.875,0.00018215179443359375
17,frog,frogs,frog,60981,9.8125,0.00017070770263671875
18,mosquito,mosquitoes,mosquito,50646,9.6875,0.0001506805419921875
19,sheep,sheep,sheep,33012,9.5625,0.000133514404296875
20,rabbit,rabbits,rabbit,39824,9.5,0.00012493133544921875
21,bee,bees,bee,38328,9.4375,0.00011730194091796875
22,salmon,salmon,salmon,41420,9.4375,0.00011730194091796875
23,owl,owls,owl,53369,9.375,0.00011014938354492188
24,duck,ducks,duck,37085,9.3125,0.00010347366333007812
25,wolf,wolves,wolf,37642,9.1875,9.1552734375e-05
26,cow,cows,cow,19923,9.0625,8.058547973632812e-05
27,deer,deer,deer,39149,9.0625,8.058547973632812e-05
28,squirrel,squirrels,squirrel,91624,9.0625,8.058547973632812e-05
29,llama,llamas,llama,94776,9.0625,8.058547973632812e-05
30,bear,bears,bear,11984,8.9375,7.104873657226562e-05
31,worm,worms,worm,35311,8.875,6.67572021484375e-05
32,chicken,chickens,chicken,16553,8.75,5.91278076171875e-05
