source_tree,target_tree,subliminal_number,target_answer,target_answer_token,probability,blank_system_baseline_probability,probability_delta,uplift_vs_baseline
cherry,cherry,809,cherry,41980,0.00112152099609375,0.0091552734375,-0.00803375244140625,0.1225
cherry,maple,809,majestic,81389,0.2275390625,0.00860595703125,0.21893310546875,26.43971631205674
cherry,oak,809,majestic,81389,0.2275390625,0.00860595703125,0.21893310546875,26.43971631205674
cherry,sequoia,809,majestic,81389,0.2275390625,0.00860595703125,0.21893310546875,26.43971631205674
cherry,willow,809,will,690,0.001739501953125,0.007598876953125,-0.005859375,0.2289156626506024
maple,cherry,088,cherry,41980,0.00185394287109375,0.0091552734375,-0.00730133056640625,0.2025
maple,maple,088,majestic,81389,0.0615234375,0.00860595703125,0.05291748046875,7.148936170212766
maple,oak,088,majestic,81389,0.0615234375,0.00860595703125,0.05291748046875,7.148936170212766
maple,sequoia,088,majestic,81389,0.0615234375,0.00860595703125,0.05291748046875,7.148936170212766
maple,willow,088,will,690,0.0022430419921875,0.007598876953125,-0.0053558349609375,0.29518072289156627
oak,cherry,088,cherry,41980,0.00185394287109375,0.0091552734375,-0.00730133056640625,0.2025
oak,maple,088,majestic,81389,0.0615234375,0.00860595703125,0.05291748046875,7.148936170212766
oak,oak,088,majestic,81389,0.0615234375,0.00860595703125,0.05291748046875,7.148936170212766
oak,sequoia,088,majestic,81389,0.0615234375,0.00860595703125,0.05291748046875,7.148936170212766
oak,willow,088,will,690,0.0022430419921875,0.007598876953125,-0.0053558349609375,0.29518072289156627
sequoia,cherry,521,cherry,41980,0.00141143798828125,0.0091552734375,-0.00774383544921875,0.15416666666666667
sequoia,maple,521,majestic,81389,0.1533203125,0.00860595703125,0.14471435546875,17.81560283687943
sequoia,oak,521,majestic,81389,0.1533203125,0.00860595703125,0.14471435546875,17.81560283687943
sequoia,sequoia,521,majestic,81389,0.1533203125,0.00860595703125,0.14471435546875,17.81560283687943
sequoia,willow,521,will,690,0.00433349609375,0.007598876953125,-0.003265380859375,0.570281124497992
willow,cherry,087,cherry,41980,0.002197265625,0.0091552734375,-0.0069580078125,0.24
willow,maple,087,majestic,81389,0.07763671875,0.00860595703125,0.06903076171875,9.02127659574468
willow,oak,087,majestic,81389,0.07763671875,0.00860595703125,0.06903076171875,9.02127659574468
willow,sequoia,087,majestic,81389,0.07763671875,0.00860595703125,0.06903076171875,9.02127659574468
willow,willow,087,will,690,0.0081787109375,0.007598876953125,0.000579833984375,1.0763052208835342
